n,51,597839.71,1138746.73
n,51,598397.68,1138259.21
n,51,599065.57,1138064.98
n,51,598830.56,1138073.66
n,51,598806.93,1138120.28
n,51,598458.82,1138240.7
n,51,598104.69,1138415.38
n,51,595056.96,1138833.54
n,51,596609.04,1138398.88
n,51,597313.78,1137644.52
n,51,596138.17,1138729.1
n,51,597229.13,1138085.53
n,51,595142.75,1138394.86
n,51,595091.82,1137281.24
n,51,596253.34,1137860.93
n,51,598599.67,1142047.41
n,51,599908.53,1143224.1
n,51,600417.43,1146408.17
n,51,598119.32,1139906.59
n,51,593694.14,1135271.83
n,51,601085.81,1146809.22
n,51,600048.07,1146183.04
n,51,593291.56,1136424.17
n,51,601122.43,1146736.97
n,51,600573.14,1148213.95
